First Name, The Social Network, A Prophet, Amour, The King's Speech, La La Land, Boyhood, Inception, A Separation, The Artist, The White Ribbon, Zero Dark Thirty, Avatar, Spotlight, Precious, The Tree of Life, 12 Years a Slave, Blue is the Warmest Colour, Son of Saul, Up in the Air, Inglourious Basterds, Mad Max: Fury Road, Moonlight, Birdman, Manchester by the Sea, Lincoln, Hugo, Toni Erdmann, The Shape of Water," Three Billboards Outside Ebbing, Missouri", Argo, Gravity, Black Swan, Ida, Leviathan, The Wolf of Wall Street, True Grit, The Descendants, The Secret in Their Eyes, Life of Pi, Arrival, Call Me by Your Name, Winter's Bone, The Grand Budapest Hotel, Dunkirk, Inside Llewyn Davis, A Serious Man, Toy Story 3, Beasts of the Southern Wild, The Imitation Game, The Fighter,,,,,,,
Chen (Elaine),3,,,4,5,4,5,,,,,3,,,,,,,3,4,3,4,4,4,,,,,3,,,,,,4,,,,5,5,,,4,5,,,,,5,,,,,,,,
Jing,5,,,3,4,,5,,,,,5,,,,2,,,5,,,,4,,3,4,,,,,5,,,,5,,,,5,,,,,,,,,,,,,,,,,,
Yihui (April),,,,,3,,,,,,,,,,,,,,,,,,,,4,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanli (Helen),4,,,4,5,,5,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,5,,4,,5,3,,,4,,,,,,,,,,
Shiyu,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,5,,5,,,,3,,,,4,,5,,5,5,,,,,,,,,,,,,
Weizhen,,,,,5,,4,,,,,5,4,,,,,,,,,,,,,,,,5,,5,,,,4,,,,5,,,,5,5,,,,,,,,,,,,,
Yushun (Peter),4,,,,,4,5,,,,4,3,4,,,3,,,4,4,5,,3,,,,,,,4,,2,,,4,,,,4,4,,,,3,,,3,,4,4,,,,,,,
Zhenyu,,,,5,,,,5,,,,5,,,,,,,,,,,,,3,,,,,,,,,,5,,,,,4,,,,,,,,,,,,,,,,,
Chunjin,5,,,5,4,,5,,,,,5,,,,5,,,,5,4,,3,,,,,,4,,4,,,,5,,,,5,,,,4,5,,,,,5,,,,,,,,
Heidi,,,,,5,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,5,,5,,,,,,,,
Hongru (Ethan),3,3,4,5,5,4,5,4,5,4,5,4,4,4,3,4,4,,4,3,4,4,3,5,2,3,4,4,5,5,5,3,3,2,5,2,2,4,5,5,5,,5,3,4,,5,,5,2,,,,,,,
Lan (Lissie),,,,,5,4,4,,,,,5,,,,,,,5,5,,4,,3,,,,4,3,,,5,,,,,,,,5,4,,5,5,,,4,,4,,,,,,,,
Shini,1,3,1,3,3,1,1,1,1,3,1,3,1,1,1,3,1,,1,1,1,3,3,1,1,1,1,3,1,1,1,1,1,1,3,1,1,1,3,1,3,,1,3,1,,1,1,1,1,,,,,,,
Krithika,4,,,,4,,3,,,,,4,,,,,,,4,,,,,,,,,,,,4,,,,3,,,,2,5,,,4,,,,3,,,,,,,,,,
Rong (Renee),,,,,3,,5,,,,,3,,,,,,,,,,,,,,,,2,,,5,5,,,5,,,,5,,4,,,4,,,,,,,,,,,,,
Xinyan (Sidney),2,,,3,2,,,,,,,,,,,,,,,,,,,2,,2,,2,2,,,2,,,,,,,2,,2,,3,3,,,,,,,,,,,,,
Yitian,,,,4,5,,5,,,,,5,,,,,,,5,,,,,,,,,,,,3,,,,3,,,,,,,,3,,,,5,,,,,,,,,,
Abhinav,,,,,,,4,,,,,,,,,,,,,,2,,,,,,,,,5,,,,,4,,,,,3,,,,5,,,,,5,,,,,,,,
Albina,5,,,5,5,,5,,,,,5,,,4,,,,5,4,,,,,,,,3,,5,4,4,,,5,,,,4,,,,,,,,4,,4,,,,,,,,
Ashish,4,,,4,,,5,,,,,4,5,,,,,,3,3,4,,,,,,,,,,,,,,3,,,,,,,,,,,,5,,,3,,,,,,,
Ashwin,4,,,,,,4,,,,4,4,,,,,,,,,,,,,,,,,,,4,,,,5,,,,4,,,,,5,,,3,,,,,,,,,,
Rohan,4,,,5,,,5,,,,,5,,,,,,,,,4,,,,,,,,,,4,,,,5,,,,,,,,,,,,5,,4,5,,,,,,,
